Transaction Frequency,Transaction Volume (ETH),Largest Transaction (ETH),Average Transaction Value (ETH),Liquidation Event Count,Average Health Factor,Collateral Utilization,Total Outstanding Debt (USD),Average Debt Size (USD),Debt-to-Asset Ratio,Repayment Activity Proxy,Earnings Efficiency,Protocol Diversity,Lending Protocol Count,Liquidity Provision Count,Token Swap Count,Wallet Age (Days),DeFi Engagement Duration (Days),Cluster,FICO Range,Credit Score
1.05,0.1546,0.0518,0.0026,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1687.0,1687.0,4,Good (670-739),685
6.58,28.0984,7.0,0.2248,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,589.0,589.0,4,Good (670-739),726
28.0,434.4871,79.0616,0.5351,1e-06,1.0,1e-06,0.0,0.0,1e-06,13.0,0.0,3.0,1e-06,1.0,46.0,894.0,859.0,3,Fair (580-669),627
1.44,0.0177,0.0177,0.0007,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,1e-06,555.0,1e-06,2,Very Good (740-799),774
40.83,0.0663,0.01,0.0003,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,4.0,166.0,1e-06,2,Very Good (740-799),765
1.59,71.8078,23.2,0.5129,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,1e-06,2660.0,1716.0,4,Good (670-739),674
0.6,0.6187,0.1231,0.0238,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1308.0,1305.0,4,Good (670-739),718
15.87,682.9143,94.0,0.9565,1e-06,1.5849,1e-06,119941.77,29985.4425,1.3176,17.0,0.0,3.0,1.0,1e-06,3.0,1368.0,1367.0,1,Poor (300-579),537
9.0,0.0486,0.032,0.0027,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0068,2.0,1e-06,1e-06,1e-06,66.0,1.0,0,Exceptional (800-850),813
4.67,0.2729,0.1,0.0195,1e-06,2.3598,1e-06,130.05,130.05,24.6774,1.0,0.0,1.0,1.0,1e-06,2.0,85.0,84.0,2,Very Good (740-799),794
0.51,9.2453,2.2211,0.201,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,2723.0,1580.0,4,Good (670-739),671
102.18,788855.3901,6000.0,227.0741,1e-06,999999.0,1e-06,0.0,0.0,1e-06,186.0,0.0,3.0,1e-06,1e-06,30.0,1030.0,1030.0,0,Exceptional (800-850),800
32.73,234.5962,36.0,0.6517,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,3.0,1e-06,1e-06,11.0,342.0,285.0,3,Fair (580-669),620
1.5,0.0487,0.015,0.0054,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,165.0,1e-06,2,Very Good (740-799),763
